datetime,code,open,close,high,low,vol,amount,p_change
2019-01-15,000300,3071.52,3127.99,3129.37,3064.67,887729.0,99976888320.0,1.96
2019-01-14,000300,3092.5,3067.78,3097.41,3064.38,661217.0,68115968000.0,-0.87
2019-01-11,000300,3082.26,3094.78,3102.83,3071.03,717864.0,77420240896.0,0.72
2019-01-10,000300,3077.48,3072.69,3092.54,3062.57,852717.0,90206871552.0,-0.19
2019-01-09,000300,3065.23,3078.48,3117.96,3062.85,1073643.0,117129682944.0,1.01
2019-01-08,000300,3049.87,3047.7,3055.51,3038.53,861705.0,79628886016.0,-0.22
2019-01-07,000300,3055.15,3054.3,3061.75,3035.91,1011643.0,105703940096.0,0.61
2019-01-04,000300,2940.19,3035.87,3036.81,2935.83,1033189.0,107141038080.0,2.4
2019-01-03,000300,2963.02,2964.84,3000.44,2953.25,708671.0,76664799232.0,-0.16
2019-01-02,000300,3017.07,2969.54,3018.78,2958.49,686630.0,76105572352.0,-1.37
2018-12-28,000300,2994.79,3010.65,3024.35,2984.82,710537.0,78145306624.0,0.67
2018-12-27,000300,3042.95,2990.51,3047.23,2990.51,805417.0,81159266304.0,-0.38
2018-12-26,000300,3012.87,3002.03,3029.06,2996.48,556470.0,58574970880.0,-0.51
2018-12-25,000300,3006.88,3017.28,3030.14,2964.88,786894.0,80413564928.0,-0.69
2018-12-24,000300,3015.5,3038.2,3040.35,3007.33,572996.0,63880740864.0,0.29
2018-12-21,000300,3055.33,3029.4,3057.4,3007.61,767581.0,84824064000.0,-1.24
2018-12-20,000300,3083.54,3067.42,3097.72,3044.29,697494.0,78181425152.0,-0.77
2018-12-19,000300,3133.74,3091.13,3137.01,3086.76,555223.0,67872923648.0,-1.19
2018-12-18,000300,3139.95,3128.43,3165.0,3114.47,638203.0,72035450880.0,-1.04
2018-12-17,000300,3158.28,3161.2,3167.51,3134.37,664970.0,77151494144.0,-0.15
2018-12-14,000300,3207.35,3165.91,3210.72,3165.91,843012.0,91576901632.0,-1.67
2018-12-13,000300,3178.89,3219.69,3234.08,3169.42,904427.0,103375478784.0,1.55
2018-12-12,000300,3181.57,3170.61,3182.21,3160.28,533099.0,60536221696.0,0.34
2018-12-11,000300,3148.23,3159.82,3161.96,3143.61,532238.0,60014968832.0,0.48
2018-12-10,000300,3153.52,3144.76,3170.15,3134.38,634372.0,73717202944.0,-1.16
2018-12-07,000300,3187.49,3181.56,3193.82,3176.71,533619.0,66323972096.0,-0.0
2018-12-06,000300,3218.11,3181.67,3223.52,3179.89,763287.0,95678881792.0,-2.16
2018-12-05,000300,3224.26,3252.0,3266.9,3219.98,761530.0,90909089792.0,-0.48
2018-12-04,000300,3256.23,3267.71,3267.94,3243.7,794150.0,90543603712.0,0.21
